City,State,2021,2010,Change
Erechim, Rio Grande do Sul,107368,96087,0.1174
Tubarão, Santa Catarina,107143,97235,0.1019
Itumbiara, Goiás,106845,92883,0.1503
Japeri, Rio de Janeiro,106296,95492,0.1131
Lagarto, Sergipe,106015,94861,0.1176
Ituiutaba, Minas Gerais,105818,97171,0.089
Assis, São Paulo,105768,95144,0.1117
Lavras, Minas Gerais,105756,92200,0.147
Leme, São Paulo,105273,91756,0.1473
Bacabal, Maranhão,105094,100014,0.0508
Aracruz, Espírito Santo,104942,81832,0.2824
São Gonçalo do Amarante, Rio Grande do Norte,104919,87668,0.1968
Vilhena, Rondônia,104517,76202,0.3716
Itaperuna, Rio de Janeiro,104354,95841,0.0888
Itanhaém, São Paulo,104351,87057,0.1987
Breves, Pará,104280,92860,0.123
Itacoatiara, Amazonas,104046,86839,0.1981
Caieiras, São Paulo,104044,86529,0.2024
Fazenda Rio Grande, Paraná,103750,81675,0.2703
Mairiporã, São Paulo,103645,80956,0.2803
Iguatu, Ceará,103633,96495,0.074
Jataí, Goiás,103221,88006,0.1729
Santo Antônio de Jesus, Bahia,103204,90985,0.1343
Itaituba, Pará,101541,97493,0.0415
Barra do Piraí, Rio de Janeiro,101139,94778,0.0671
Abreu e Lima, Pernambuco,100698,94429,0.0664
